Training on: ['S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'S9', 'S10', 'S11', 'S13', 'S14']
Validation on: ['S15', 'S16', 'S17']
Loading Subjects: ['S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'S9', 'S10', 'S11', 'S13', 'S14']...
Finished loading. Total segments: 52772
Loading Subjects: ['S15', 'S16', 'S17']...
Finished loading. Total segments: 6721
Total Train Samples: 52772
Total Val Samples: 6721
Using device: cuda
Epoch [54/100] | Loss: 0.0317 | Train Acc: 99.01% | Val Acc: 92.72% | Time: 64.6s
Epoch [55/100] | Loss: 0.0333 | Train Acc: 98.94% | Val Acc: 92.95% | Time: 60.4s
Epoch [56/100] | Loss: 0.0261 | Train Acc: 99.26% | Val Acc: 90.79% | Time: 45.5s
Epoch [57/100] | Loss: 0.0322 | Train Acc: 99.04% | Val Acc: 95.00% | Time: 68.2s
Epoch [58/100] | Loss: 0.0258 | Train Acc: 99.19% | Val Acc: 92.99% | Time: 68.4s
Epoch [59/100] | Loss: 0.0304 | Train Acc: 99.05% | Val Acc: 94.79% | Time: 68.7s
Epoch [60/100] | Loss: 0.0270 | Train Acc: 99.13% | Val Acc: 92.96% | Time: 67.4s
Epoch [61/100] | Loss: 0.0305 | Train Acc: 99.09% | Val Acc: 95.63% | Time: 54.1s
Epoch [62/100] | Loss: 0.0253 | Train Acc: 99.20% | Val Acc: 96.06% | Time: 61.4s
Epoch [63/100] | Loss: 0.0269 | Train Acc: 99.23% | Val Acc: 94.97% | Time: 58.4s
Epoch [64/100] | Loss: 0.0267 | Train Acc: 99.21% | Val Acc: 94.29% | Time: 53.5s
Epoch [65/100] | Loss: 0.0274 | Train Acc: 99.13% | Val Acc: 92.77% | Time: 51.1s
Epoch [66/100] | Loss: 0.0228 | Train Acc: 99.31% | Val Acc: 88.20% | Time: 53.9s
Epoch [67/100] | Loss: 0.0270 | Train Acc: 99.14% | Val Acc: 88.41% | Time: 53.7s
Epoch [68/100] | Loss: 0.0237 | Train Acc: 99.21% | Val Acc: 91.40% | Time: 50.0s
Epoch [69/100] | Loss: 0.0250 | Train Acc: 99.20% | Val Acc: 91.76% | Time: 49.3s
Epoch [70/100] | Loss: 0.0275 | Train Acc: 99.13% | Val Acc: 90.42% | Time: 45.5s
Epoch [71/100] | Loss: 0.0228 | Train Acc: 99.33% | Val Acc: 92.01% | Time: 43.4s
Epoch [72/100] | Loss: 0.0285 | Train Acc: 99.11% | Val Acc: 90.91% | Time: 43.2s
Epoch [73/100] | Loss: 0.0220 | Train Acc: 99.30% | Val Acc: 91.70% | Time: 43.3s
Epoch [74/100] | Loss: 0.0214 | Train Acc: 99.33% | Val Acc: 94.15% | Time: 43.0s
